mean_af_cfdna	mean_af_gdna	n_variants
5.262732458352463e-4	1.4287910631803491e-4	1
4.125189911088227e-4	2.2430803801079554e-4	2
5.262732458352463e-4	2.2430803801079554e-4	2
6.713958272260541e-4	2.2430803801079554e-4	5
8.565367143091966e-4	2.2430803801079554e-4	2
0.001092731162763955	2.2430803801079554e-4	2
0.0013940574573484408	2.2430803801079554e-4	2
4.6593745118794804e-4	2.8104954882613765e-4	9
5.944221237761055e-4	2.8104954882613765e-4	19
7.583371122746862e-4	2.8104954882613765e-4	44
9.674525103472036e-4	2.8104954882613765e-4	37
0.0012342325657379674	2.8104954882613765e-4	30
0.0015745786072552802	2.8104954882613765e-4	20
0.0020087768377295783	2.8104954882613765e-4	3
0.0032693873876080653	2.8104954882613765e-4	1
4.125189911088227e-4	3.5214453122528764e-4	6
5.262732458352463e-4	3.5214453122528764e-4	36
6.713958272260541e-4	3.5214453122528764e-4	54
8.565367143091966e-4	3.5214453122528764e-4	79
0.001092731162763955	3.5214453122528764e-4	85
0.0013940574573484408	3.5214453122528764e-4	78
0.001778476042975813	3.5214453122528764e-4	39
0.0022689000505438503	3.5214453122528764e-4	9
0.0028945610258231027	3.5214453122528764e-4	1
4.6593745118794804e-4	4.412238745438792e-4	12
5.944221237761055e-4	4.412238745438792e-4	35
7.583371122746862e-4	4.412238745438792e-4	90
9.674525103472036e-4	4.412238745438792e-4	141
0.0012342325657379674	4.412238745438792e-4	148
0.0015745786072552802	4.412238745438792e-4	99
0.0020087768377295783	4.412238745438792e-4	54
0.002562707485803305	4.412238745438792e-4	26
0.0032693873876080653	4.412238745438792e-4	5
0.004170937943352573	4.412238745438792e-4	1
4.125189911088227e-4	5.528369467790073e-4	3
5.262732458352463e-4	5.528369467790073e-4	14
6.713958272260541e-4	5.528369467790073e-4	57
8.565367143091966e-4	5.528369467790073e-4	132
0.001092731162763955	5.528369467790073e-4	192
0.0013940574573484408	5.528369467790073e-4	153
0.001778476042975813	5.528369467790073e-4	119
0.0022689000505438503	5.528369467790073e-4	57
0.0028945610258231027	5.528369467790073e-4	30
0.003692751265180587	5.528369467790073e-4	8
0.0047110466094302285	5.528369467790073e-4	1
0.006010142184634442	5.528369467790073e-4	1
0.007667470113162647	5.528369467790073e-4	1
4.6593745118794804e-4	6.926839352015629e-4	5
5.944221237761055e-4	6.926839352015629e-4	28
7.583371122746862e-4	6.926839352015629e-4	88
9.674525103472036e-4	6.926839352015629e-4	139
0.0012342325657379674	6.926839352015629e-4	209
0.0015745786072552802	6.926839352015629e-4	181
0.0020087768377295783	6.926839352015629e-4	122
0.002562707485803305	6.926839352015629e-4	68
0.0032693873876080653	6.926839352015629e-4	25
0.004170937943352573	6.926839352015629e-4	9
0.0053210957481627475	6.926839352015629e-4	6
0.00866035639228141	6.926839352015629e-4	1
4.125189911088227e-4	8.679069604190613e-4	2
5.262732458352463e-4	8.679069604190613e-4	8
6.713958272260541e-4	8.679069604190613e-4	43
8.565367143091966e-4	8.679069604190613e-4	100
0.001092731162763955	8.679069604190613e-4	182
0.0013940574573484408	8.679069604190613e-4	233
0.001778476042975813	8.679069604190613e-4	215
0.0022689000505438503	8.679069604190613e-4	126
0.0028945610258231027	8.679069604190613e-4	67
0.003692751265180587	8.679069604190613e-4	36
0.0047110466094302285	8.679069604190613e-4	15
0.006010142184634442	8.679069604190613e-4	3
0.009781814827367221	8.679069604190613e-4	2
4.6593745118794804e-4	0.0010874548313649921	1
5.944221237761055e-4	0.0010874548313649921	17
7.583371122746862e-4	0.0010874548313649921	65
9.674525103472036e-4	0.0010874548313649921	117
0.0012342325657379674	0.0010874548313649921	197
0.0015745786072552802	0.0010874548313649921	220
0.0020087768377295783	0.0010874548313649921	202
0.002562707485803305	0.0010874548313649921	131
0.0032693873876080653	0.0010874548313649921	65
0.004170937943352573	0.0010874548313649921	24
0.0053210957481627475	0.0010874548313649921	8
0.0067884155424180305	0.0010874548313649921	1
0.011048494655737266	0.0010874548313649921	1
5.262732458352463e-4	0.0013625400696038615	3
6.713958272260541e-4	0.0013625400696038615	12
8.565367143091966e-4	0.0013625400696038615	63
0.001092731162763955	0.0013625400696038615	112
0.0013940574573484408	0.0013625400696038615	204
0.001778476042975813	0.0013625400696038615	232
0.0022689000505438503	0.0013625400696038615	190
0.0028945610258231027	0.0013625400696038615	128
0.003692751265180587	0.0013625400696038615	70
0.0047110466094302285	0.0013625400696038615	40
0.006010142184634442	0.0013625400696038615	8
0.007667470113162647	0.0013625400696038615	1
0.012479201079980972	0.0013625400696038615	2
4.6593745118794804e-4	0.0017072115436240834	1
5.944221237761055e-4	0.0017072115436240834	5
7.583371122746862e-4	0.0017072115436240834	17
9.674525103472036e-4	0.0017072115436240834	45
0.0012342325657379674	0.0017072115436240834	95
0.0015745786072552802	0.0017072115436240834	163
0.0020087768377295783	0.0017072115436240834	199
0.002562707485803305	0.0017072115436240834	173
0.0032693873876080653	0.0017072115436240834	122
0.004170937943352573	0.0017072115436240834	71
0.0053210957481627475	0.0017072115436240834	27
0.0067884155424180305	0.0017072115436240834	10
0.00866035639228141	0.0017072115436240834	3
0.01798199202672467	0.0017072115436240834	1
6.713958272260541e-4	0.0021390719581044645	4
8.565367143091966e-4	0.0021390719581044645	10
0.001092731162763955	0.0021390719581044645	45
0.0013940574573484408	0.0021390719581044645	82
0.001778476042975813	0.0021390719581044645	150
0.0022689000505438503	0.0021390719581044645	205
0.0028945610258231027	0.0021390719581044645	168
0.003692751265180587	0.0021390719581044645	120
0.0047110466094302285	0.0021390719581044645	80
0.006010142184634442	0.0021390719581044645	22
0.007667470113162647	0.0021390719581044645	8
0.009781814827367221	0.0021390719581044645	4
0.012479201079980972	0.0021390719581044645	1
0.015920405603968405	0.0021390719581044645	1
5.944221237761055e-4	0.0026801768410232743	1
7.583371122746862e-4	0.0026801768410232743	2
9.674525103472036e-4	0.0026801768410232743	9
0.0012342325657379674	0.0026801768410232743	36
0.0015745786072552802	0.0026801768410232743	73
0.0020087768377295783	0.0026801768410232743	118
0.002562707485803305	0.0026801768410232743	182
0.0032693873876080653	0.0026801768410232743	174
0.004170937943352573	0.0026801768410232743	138
0.0053210957481627475	0.0026801768410232743	74
0.0067884155424180305	0.0026801768410232743	29
0.00866035639228141	0.0026801768410232743	9
0.011048494655737266	0.0026801768410232743	2
0.014095174451094167	0.0026801768410232743	2
6.713958272260541e-4	0.003358160940748822	1
8.565367143091966e-4	0.003358160940748822	6
0.001092731162763955	0.003358160940748822	9
0.0013940574573484408	0.003358160940748822	17
0.001778476042975813	0.003358160940748822	42
0.0022689000505438503	0.003358160940748822	81
0.0028945610258231027	0.003358160940748822	133
0.003692751265180587	0.003358160940748822	150
0.0047110466094302285	0.003358160940748822	129
0.006010142184634442	0.003358160940748822	69
0.007667470113162647	0.003358160940748822	42
0.009781814827367221	0.003358160940748822	11
0.012479201079980972	0.003358160940748822	3
0.015920405603968405	0.003358160940748822	1
0.020310540151602	0.003358160940748822	1
7.583371122746862e-4	0.004207649559297515	2
9.674525103472036e-4	0.004207649559297515	4
0.0012342325657379674	0.004207649559297515	6
0.0015745786072552802	0.004207649559297515	12
0.0020087768377295783	0.004207649559297515	24
0.002562707485803305	0.004207649559297515	65
0.0032693873876080653	0.004207649559297515	100
0.004170937943352573	0.004207649559297515	124
0.0053210957481627475	0.004207649559297515	111
