participant_id	input_dna_concentration	input_dna_volumne	mass_dna	batch	reads_raw_total	coverage_raw_reads	reads_collapsed_total	reads_collapsed_duplex	reads_collapsed_non_duplex	coverage_collapsed_reads	fragments_total	coverage_fragments
ccga_7809	13.76	5.45	74.992	HFWWFCCXY	2194721540	111496.1	145544368	59345098	85865466	5065.331	72785830	5063.379
ccga_781	16.16	4.64	74.9824	H77LFCCXY	2065580626	106242.9	97168564	32735308	64237985	3454.788	48596464	3453.363
ccga_7827	14.84	5.05	74.942	HCNWNCCXY	1934238552	99046.59	106486492	33832679	72439098	3896.34	53252708	3894.773
ccga_7838	16.37	4.58	74.97460000000001	HFYWJCCXY	2025434708	95038.8	129263440	53595690	74995235	4464.642	64637026	4462.786
ccga_784	8.16	9.19	74.9904	HL2CVALXX	1849747250	95145.41	102964170	31190671	71602736	3740.502	51491767	3738.966
ccga_7847	16.61	4.52	75.07719999999999	HF5C3CCXY	2051688070	107203.6	96221658	29825217	66226362	3562.778	48121286	3561.465
ccga_785	12.91	5.81	75.0071	H3WFWCCXY	1974935984	100778.9	118404168	38914857	79211952	4447.042	59213983	4445.706
ccga_7867	15.95	4.7	74.965	HFWYNCCXY	1909227596	100701.1	101512204	29903946	71299091	3698.977	50764467	3697.441
ccga_7871	16.33	4.59	74.95469999999999	HFY2VCCXY	1864541304	86779.93	124943594	47142123	77489222	4402.083	62485292	4400.466
ccga_7874	14.01	5.35	74.95349999999999	HF23FCCXY	1946097702	100586.7	85922608	20482206	65337864	3189.163	42969769	3188.157
ccga_7882	14.21	5.28	75.0288	HFY2JCCXY	1817245426	87847.38	133212614	51052699	81648689	4624.614	66614022	4622.699
ccga_7909	11.46	6.54	74.9484	HFYJTCCXY	1858695018	85364.96	141708540	50632531	89871451	4935.049	70863355	4932.192
ccga_7924	15.15	4.95	74.9925	HFY5TCCXY	1909779276	95940.4	120786450	47493791	72983388	4273.506	60403932	4272.031
ccga_7926	15.13	4.96	75.04480000000001	HG23KCCXY	1944814460	93726.98	135865116	56203034	79260450	4718.166	67944892	4716.411
ccga_793	12.03	6.23	74.9469	H3KGTCCXY	2615255718	134320.8	115317550	36142760	78980891	4137.614	57671948	4136.052
ccga_7935	15.02	4.99	74.9498	HFYLYCCXY	1776408964	85502.94	133800938	55902174	77542728	4642.923	66915777	4640.766
ccga_794	9.3	8.06	74.95800000000001	HLCH7ALXX	1826526284	93601.75	95206508	29220904	65759253	3417.047	47613752	3415.336
ccga_795	11.3	6.64	75.032	HKMGTALXX	2687204494	137814.5	121522408	38703703	82573655	4441.08	60774499	4439.367
ccga_7959	14.91	5.03	74.99730000000001	HFY2VCCXY	1962326654	94440.08	133654940	53526894	79856233	4670.673	66842360	4669.011
ccga_797	12.74	5.89	75.0386	H2HNCCCXY	1985960830	101974.2	119163184	35336022	83576986	4249.13	59594021	4247.057
ccga_7982	13.82	5.43	75.0426	HFWTHCCXY	1927910992	99472.94	125281714	51218310	73736754	4334.824	62651305	4333.291
ccga_7985	15.26	4.91	74.92660000000001	HG233CCXY	1858712528	94104.95	134987482	59058084	75415199	4713.699	67502893	4711.884
ccga_7986	15.77	4.76	75.06519999999999	HCMW3CCXY	1783505682	91202.72	101089070	32158694	68771410	3665.6	50555649	3664.319
ccga_7987	12.94	5.8	75.05199999999999	HFYLYCCXY	2041357810	102300	141568820	59749397	81394898	4871.399	70797300	4869.25
ccga_7992	14.71	5.1	75.021	HFY7WCCXY	1834290598	91988.56	120661694	46097946	74209306	4218.305	60340649	4216.689
ccga_80	9.35	8.02	74.987	HK5V2ALXX	2722578518	140229	107382016	34466293	72741688	3777.13	53703943	3775.416
ccga_8002	15.55	4.82	74.95100000000001	HFYYHCCXY	1854415910	91080.14	126233824	52929489	72922660	4333.627	63130685	4331.546
ccga_802	14.51	5.17	75.0167	HCNNHCCXY	2195120052	113526.9	94318698	24861644	69304852	3513.777	47167639	3512.507
ccga_806	15.15	4.95	74.9925	H3KYVCCXY	2763363938	144831.1	105381206	33615772	71622764	3824.299	52701502	3823.085
ccga_807	17.21	4.36	75.0356	H5LY5CCXY	2881657270	150926.8	99625048	30287892	69187427	3607.137	49825835	3605.824
ccga_8072	14.07	5.33	74.9931	HFYMVCCXY	1991849692	100481.2	141986204	56297731	84790532	4949.109	71001466	4946.815
ccga_809	12.13	6.18	74.96340000000001	HFYJTCCXY	1924991078	90807.6	149799902	55076457	93664997	5245.61	74912604	5242.582
ccga_8090	15.29	4.91	75.0739	HFWTHCCXY	1909266916	96647.52	122410414	46791281	75324585	4299.975	61218540	4298.436
ccga_81	17.63	4.25	74.9275	H2CKJCCXY	2522359818	131344	113693230	34000943	79456240	4106.303	56859807	4104.594
ccga_810	15.29	4.91	75.0739	H5VN2CCXY	2683726378	131605.8	123422856	42767672	80417565	4395.24	61728710	4393.337
ccga_8121	14.99	5	74.95	HFY5TCCXY	2161678832	111665.4	122228956	46800003	75074694	4315.751	61124209	4314.247
ccga_816	18.35	4.09	75.0515	HL5TCALXX	1997609334	98625.34	121177470	41063582	79813462	4391.169	60600837	4389.452
ccga_819	11.39	6.58	74.9462	H3NH5CCXY	2665194584	135600.7	125201742	42219714	82663968	4478.151	62613315	4476.124
ccga_820	13.79	5.44	75.0176	HL2TCALXX	2769336558	140833.5	117506882	39226819	78074354	4170.482	58767067	4168.825
ccga_822	12.66	5.92	74.9472	H5WVMCCXY	2045570186	103250.4	92436048	29832300	62466681	3236.434	46227671	3234.794
ccga_8221	12.54	5.98	74.9892	HCN2KCCXY	1890913156	94704.04	94172840	25943337	68095753	3432.613	47096842	3431.369
ccga_8244	15.68	4.78	74.9504	HFYYHCCXY	2136011520	107729.6	136886738	57334361	79087142	4687.032	68457461	4684.766
ccga_8247	17.82	4.21	75.0222	HFWWGCCXY	1816461128	87443.21	123072756	51857350	70871201	4261.138	61551257	4259.326
ccga_825	13.93	5.38	74.9434	H5VVWCCXY	2110774342	110120.7	98968912	27917552	70894300	3614.932	49495086	3613.47
